season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2014,13,monza,False,False,False,False,False,hamilton,British,mercedes,1,1,191,5,2,411,9,1,0.0,29
2014,13,monza,False,False,False,False,False,rosberg,German,mercedes,2,2,220,4,1,411,9,1,0.274,29
2014,13,monza,False,False,False,False,False,bottas,Finnish,williams,3,4,110,0,5,150,0,4,0.588,25
2014,13,monza,False,False,False,False,False,massa,Brazilian,williams,4,3,40,0,9,150,0,4,0.756,33
2014,13,monza,False,False,False,False,False,kevin_magnussen,Danish,mclaren,5,10,37,0,11,105,0,5,1.205,21
2014,13,monza,False,False,False,False,False,button,British,mclaren,6,8,68,0,8,105,0,5,1.27,34
2014,13,monza,False,False,False,False,False,alonso,Spanish,ferrari,7,21,121,0,4,160,0,3,1.321,33
2014,13,monza,False,False,False,False,False,vettel,German,red_bull,8,6,98,0,6,254,3,2,1.327,27
2014,13,monza,False,False,False,False,False,ricciardo,Australian,red_bull,9,5,156,3,3,254,3,2,1.6,25
2014,13,monza,False,False,False,False,False,perez,Mexican,force_india,10,7,33,0,12,103,0,6,1.835,24
2014,13,monza,False,False,False,False,False,raikkonen,Finnish,ferrari,11,9,39,0,10,160,0,3,2.001,34
2014,13,monza,False,False,False,False,False,vergne,French,toro_rosso,12,13,11,0,13,19,0,7,2.048,24
2014,13,monza,False,False,False,False,False,hulkenberg,German,force_india,13,12,70,0,7,103,0,6,2.17,27
2014,13,monza,False,False,False,False,False,sutil,German,sauber,14,15,0,0,17,0,0,10,2.479,31
2014,13,monza,False,False,False,False,False,gutierrez,Mexican,sauber,15,19,0,0,20,0,0,10,2.583,23
2014,13,monza,False,False,False,False,False,maldonado,Venezuelan,lotus_f1,16,14,0,0,19,8,0,8,3.411,29
2014,13,monza,False,False,False,False,False,grosjean,French,lotus_f1,17,16,8,0,14,8,0,8,3.523,28
2014,13,monza,False,False,False,False,False,kobayashi,Japanese,caterham,18,17,0,0,22,0,0,11,3.562,27
2014,13,monza,False,False,False,False,False,jules_bianchi,French,marussia,19,18,2,0,16,2,0,9,3.629,25
2014,13,monza,False,False,False,False,False,chilton,British,marussia,20,22,0,0,21,2,0,9,4.138,23
2014,13,monza,False,False,False,False,False,kvyat,Russian,toro_rosso,21,11,8,0,15,19,0,7,1.961,20
