season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2014,18,interlagos,False,False,False,False,False,rosberg,German,mercedes,1,1,292,4,2,608,14,1,0.0,29
2014,18,interlagos,False,False,False,False,False,hamilton,British,mercedes,2,2,316,10,1,608,14,1,0.033,29
2014,18,interlagos,False,False,False,False,False,massa,Brazilian,williams,3,3,83,0,8,238,0,3,0.224,33
2014,18,interlagos,False,False,False,False,False,bottas,Finnish,williams,4,10,155,0,4,238,0,3,0.282,25
2014,18,interlagos,False,False,False,False,False,button,British,mclaren,5,4,94,0,7,147,0,5,0.907,34
2014,18,interlagos,False,False,False,False,False,vettel,German,red_bull,6,5,149,0,5,363,3,2,0.915,27
2014,18,interlagos,False,False,False,False,False,kevin_magnussen,Danish,mclaren,7,9,53,0,10,147,0,5,0.946,22
2014,18,interlagos,False,False,False,False,False,alonso,Spanish,ferrari,8,6,149,0,6,196,0,4,0.954,33
2014,18,interlagos,False,False,False,False,False,ricciardo,Australian,red_bull,9,18,214,3,3,363,3,2,1.052,25
2014,18,interlagos,False,False,False,False,False,raikkonen,Finnish,ferrari,10,7,47,0,12,196,0,4,1.076,35
2014,18,interlagos,False,False,False,False,False,gutierrez,Mexican,sauber,11,14,0,0,20,0,0,10,1.568,23
2014,18,interlagos,False,False,False,False,False,hulkenberg,German,force_india,12,8,76,0,9,123,0,6,1.953,27
2014,18,interlagos,False,False,False,False,False,sutil,German,sauber,13,16,0,0,18,0,0,10,2.076,31
2014,18,interlagos,False,False,False,False,False,grosjean,French,lotus_f1,14,17,8,0,14,10,0,8,2.014,28
2014,18,interlagos,False,False,False,False,False,vergne,French,toro_rosso,15,13,22,0,13,30,0,7,2.017,24
2014,18,interlagos,False,False,False,False,False,maldonado,Venezuelan,lotus_f1,16,12,2,0,16,10,0,8,2.21,29
2014,18,interlagos,False,False,False,False,False,perez,Mexican,force_india,18,15,47,0,11,123,0,6,2.053,24
