season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2009,4,bahrain,True,False,False,False,False,trulli,Italian,toyota,1,3,0,0,6,0,0,3,0.0,34
2009,4,bahrain,True,False,False,False,False,glock,German,toyota,2,7,10,0,4,0,0,3,0.281,27
2009,4,bahrain,True,False,False,False,False,vettel,German,red_bull,3,2,10,1,3,0,1,2,0.584,21
2009,4,bahrain,True,False,False,False,False,button,British,brawn,4,1,21,2,1,36,2,1,0.613,29
2009,4,bahrain,True,False,False,False,False,hamilton,British,mclaren,5,4,4,0,10,8,0,4,0.765,24
2009,4,bahrain,True,False,False,False,False,barrichello,Brazilian,brawn,6,5,15,0,2,36,2,1,0.808,36
2009,4,bahrain,True,False,False,False,False,alonso,Spanish,renault,7,8,4,0,8,4,0,6,1.147,27
2009,4,bahrain,True,False,False,False,False,massa,Brazilian,ferrari,8,14,0,0,15,0,0,9,1.387,28
2009,4,bahrain,True,False,False,False,False,rosberg,German,williams,9,9,0,0,11,0,0,8,1.703,23
2009,4,bahrain,True,False,False,False,False,raikkonen,Finnish,ferrari,10,6,0,0,16,0,0,9,1.949,29
2009,4,bahrain,True,False,False,False,False,kovalainen,Finnish,mclaren,11,12,4,0,9,8,0,4,-0.189,27
2009,4,bahrain,True,False,False,False,False,nakajima,Japanese,williams,12,20,0,0,18,0,0,8,-0.083,24
2009,4,bahrain,True,False,False,False,False,kubica,Polish,bmw_sauber,13,18,0,0,19,4,0,5,0.056,24
2009,4,bahrain,True,False,False,False,False,heidfeld,German,bmw_sauber,14,19,4,0,7,4,0,5,0.131,31
2009,4,bahrain,True,False,False,False,False,piquet_jr,Brazilian,renault,15,10,0,0,20,4,0,6,0.51,23
2009,4,bahrain,True,False,False,False,False,buemi,Swiss,toro_rosso,16,17,3,0,12,4,0,7,0.322,20
2009,4,bahrain,True,False,False,False,False,fisichella,Italian,force_india,17,15,0,0,17,0,0,10,0.479,36
2009,4,bahrain,True,False,False,False,False,webber,Australian,red_bull,18,11,0,0,5,0,1,2,0.607,32
2009,4,bahrain,True,False,False,False,False,sutil,German,force_india,19,16,0,0,14,0,0,10,0.291,26
2009,4,bahrain,True,False,False,False,False,bourdais,French,toro_rosso,20,13,1,0,13,4,0,7,0.728,30
