season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2013,2,sepang,False,False,True,True,True,vettel,German,red_bull,1,1,15,0,3,23,0,3,0.0,25
2013,2,sepang,False,False,True,True,True,massa,Brazilian,ferrari,2,5,12,0,4,30,0,1,0.913,31
2013,2,sepang,False,False,True,True,True,alonso,Spanish,ferrari,3,22,18,0,2,30,0,1,1.053,31
2013,2,sepang,False,False,True,True,True,hamilton,British,mercedes,4,3,10,0,5,10,0,4,2.025,28
2013,2,sepang,False,False,True,True,True,webber,Australian,red_bull,5,2,8,0,6,23,0,3,2.57,36
2013,2,sepang,False,False,True,True,True,rosberg,German,mercedes,6,4,0,0,20,10,0,4,2.845,27
2013,2,sepang,False,False,True,True,True,button,British,mclaren,7,17,2,0,9,2,0,6,3.501,33
2013,2,sepang,False,False,True,True,True,sutil,German,force_india,8,20,6,0,7,10,0,5,3.765,30
2013,2,sepang,False,False,True,True,True,perez,Mexican,mclaren,9,9,0,0,11,2,0,6,4.462,23
2013,2,sepang,False,False,True,True,True,raikkonen,Finnish,lotus_f1,10,7,25,1,1,26,1,2,3.296,33
2013,2,sepang,False,False,True,True,True,grosjean,French,lotus_f1,11,6,1,0,10,26,1,2,-12.038,26
2013,2,sepang,False,False,True,True,True,hulkenberg,German,sauber,12,8,0,0,22,0,0,8,-11.549,25
2013,2,sepang,False,False,True,True,True,ricciardo,Australian,toro_rosso,13,18,0,0,19,0,0,7,-10.852,23
2013,2,sepang,False,False,True,True,True,gutierrez,Mexican,sauber,14,12,0,0,13,0,0,8,-10.453,21
2013,2,sepang,False,False,True,True,True,resta,British,force_india,15,21,4,0,8,10,0,5,-5.165,26
2013,2,sepang,False,False,True,True,True,vergne,French,toro_rosso,17,10,0,0,12,0,0,7,-11.517,22
2013,2,sepang,False,False,True,True,True,bottas,Finnish,williams,18,11,0,0,14,0,0,9,-11.467,23
2013,2,sepang,False,False,True,True,True,jules_bianchi,French,marussia,19,13,0,0,15,0,0,10,-11.24,23
2013,2,sepang,False,False,True,True,True,pic,French,caterham,20,14,0,0,16,0,0,11,-10.36,23
2013,2,sepang,False,False,True,True,True,chilton,British,marussia,21,16,0,0,17,0,0,10,-10.002,21
2013,2,sepang,False,False,True,True,True,garde,Dutch,caterham,22,15,0,0,18,0,0,11,-9.742,27
