season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2000,5,catalunya,False,False,True,False,False,michael_schumacher,German,ferrari,1,5,34,3,1,43,3,1,0.0,31
2000,5,catalunya,False,False,True,False,False,hakkinen,Finnish,mclaren,2,1,12,0,3,26,1,2,0.078,31
2000,5,catalunya,False,False,True,False,False,barrichello,Brazilian,ferrari,3,3,9,0,4,43,3,1,0.442,27
2000,5,catalunya,False,False,True,False,False,coulthard,British,mclaren,4,2,14,1,2,26,1,2,0.448,29
2000,5,catalunya,False,False,True,False,False,ralf_schumacher,German,williams,5,4,9,0,5,12,0,3,0.631,24
2000,5,catalunya,False,False,True,False,False,villeneuve,Canadian,bar,6,19,5,0,7,6,0,6,0.989,29
2000,5,catalunya,False,False,True,False,False,trulli,Italian,jordan,7,12,4,0,9,8,0,5,1.032,25
2000,5,catalunya,False,False,True,False,False,frentzen,German,jordan,8,6,4,0,8,8,0,5,1.161,32
2000,5,catalunya,False,False,True,False,False,irvine,British,jaguar,9,11,0,0,14,0,0,9,1.396,34
2000,5,catalunya,False,False,True,False,False,button,British,williams,10,17,3,0,10,12,0,3,1.411,20
2000,5,catalunya,False,False,True,False,False,verstappen,Dutch,arrows,11,18,0,0,15,0,0,8,1.447,28
2000,5,catalunya,False,False,True,False,False,salo,Finnish,sauber,12,7,1,0,11,1,0,7,1.469,33
2000,5,catalunya,False,False,True,False,False,fisichella,Italian,benetton,13,9,8,0,6,8,0,4,1.595,27
2000,5,catalunya,False,False,True,False,False,herbert,British,jaguar,14,13,0,0,20,0,0,9,1.807,35
2000,5,catalunya,False,False,True,False,False,diniz,Brazilian,sauber,15,22,0,0,16,1,0,7,1.867,29
2000,5,catalunya,False,False,True,False,False,zonta,Brazilian,bar,16,8,1,0,12,6,0,6,1.908,24
2000,5,catalunya,False,False,True,False,False,alesi,French,prost,17,20,0,0,22,0,0,11,1.92,35
2000,5,catalunya,False,False,True,False,False,wurz,Austrian,benetton,18,10,0,0,13,8,0,4,2.036,26
2000,5,catalunya,False,False,True,False,False,heidfeld,German,prost,19,16,0,0,19,0,0,11,2.059,22
2000,5,catalunya,False,False,True,False,False,gene,Spanish,minardi,20,14,0,0,17,0,0,10,2.512,26
2000,5,catalunya,False,False,True,False,False,mazzacane,Argentine,minardi,21,15,0,0,21,0,0,10,3.283,24
