season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2000,12,hungaroring,False,False,True,False,False,michael_schumacher,German,ferrari,1,2,56,5,1,102,6,2,0.0,31
2000,12,hungaroring,False,False,True,False,False,coulthard,British,mclaren,2,3,54,3,2,108,5,1,0.372,29
2000,12,hungaroring,False,False,True,False,False,hakkinen,Finnish,mclaren,3,1,54,2,3,108,5,1,0.408,31
2000,12,hungaroring,False,False,True,False,False,ralf_schumacher,German,williams,4,5,14,0,6,22,0,3,0.807,25
2000,12,hungaroring,False,False,True,False,False,barrichello,Brazilian,ferrari,5,4,46,1,4,102,6,2,0.816,28
2000,12,hungaroring,False,False,True,False,False,frentzen,German,jordan,6,6,5,0,11,11,0,6,1.009,33
2000,12,hungaroring,False,False,True,False,False,fisichella,Italian,benetton,7,20,18,0,5,18,0,4,1.093,27
2000,12,hungaroring,False,False,True,False,False,button,British,williams,8,9,8,0,8,22,0,3,1.185,20
2000,12,hungaroring,False,False,True,False,False,salo,Finnish,sauber,9,10,6,0,10,6,0,7,1.234,33
2000,12,hungaroring,False,False,True,False,False,irvine,British,jaguar,10,8,3,0,12,3,0,9,1.494,34
2000,12,hungaroring,False,False,True,False,False,wurz,Austrian,benetton,11,11,0,0,17,18,0,4,1.745,26
2000,12,hungaroring,False,False,True,False,False,trulli,Italian,jordan,12,7,6,0,9,11,0,6,1.752,26
2000,12,hungaroring,False,False,True,False,False,diniz,Brazilian,sauber,13,19,0,0,16,6,0,7,1.937,30
2000,12,hungaroring,False,False,True,False,False,alesi,French,prost,14,22,0,0,22,0,0,11,2.112,36
2000,12,hungaroring,False,False,True,False,False,rosa,Spanish,arrows,15,16,2,0,14,4,0,8,2.383,29
2000,12,hungaroring,False,False,True,False,False,villeneuve,Canadian,bar,16,12,11,0,7,12,0,5,2.423,29
2000,12,hungaroring,False,False,True,False,False,herbert,British,jaguar,17,18,0,0,18,3,0,9,2.442,36
2000,12,hungaroring,False,False,True,False,False,zonta,Brazilian,bar,18,14,1,0,15,12,0,5,2.758,24
2000,12,hungaroring,False,False,True,False,False,heidfeld,German,prost,19,21,0,0,20,0,0,11,2.967,23
2000,12,hungaroring,False,False,True,False,False,verstappen,Dutch,arrows,20,13,2,0,13,4,0,8,3.095,28
2000,12,hungaroring,False,False,True,False,False,gene,Spanish,minardi,21,15,0,0,19,0,0,10,3.14,26
2000,12,hungaroring,False,False,True,False,False,mazzacane,Argentine,minardi,22,17,0,0,21,0,0,10,3.391,25
