season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
1986,2,jerez,True,False,True,False,False,senna,Brazilian,team_lotus,1,1,6,0,2,6,0,3,0.0,26
1986,2,jerez,True,False,True,False,False,piquet,Brazilian,williams,2,13,9,1,1,9,1,1,0.826,33
1986,2,jerez,True,False,True,False,False,mansell,British,williams,3,2,0,0,25,9,1,1,0.971,32
1986,2,jerez,True,False,True,False,False,prost,French,mclaren,4,3,0,0,13,0,0,9,1.281,31
1986,2,jerez,True,False,True,False,False,keke_rosberg,Finnish,mclaren,5,4,0,0,23,0,0,9,1.399,37
1986,2,jerez,True,False,True,False,False,arnoux,French,ligier,6,15,3,0,4,7,0,2,2.669,37
1986,2,jerez,True,False,True,False,False,berger,Austrian,benetton,7,6,1,0,6,1,0,5,2.896,26
1986,2,jerez,True,False,True,False,False,laffite,French,ligier,8,11,4,0,3,7,0,2,3.212,42
1986,2,jerez,True,False,True,False,False,fabi,Italian,benetton,9,5,0,0,10,1,0,5,3.447,31
1986,2,jerez,True,False,True,False,False,dumfries,British,team_lotus,10,9,0,0,9,6,0,3,3.502,27
1986,2,jerez,True,False,True,False,False,johansson,Swedish,ferrari,11,19,0,0,15,0,0,8,3.861,29
1986,2,jerez,True,False,True,False,False,brundle,British,tyrrell,12,10,2,0,5,2,0,4,4.226,26
1986,2,jerez,True,False,True,False,False,alboreto,Italian,ferrari,13,16,0,0,12,0,0,8,4.489,29
1986,2,jerez,True,False,True,False,False,patrese,Italian,brabham,14,21,0,0,17,0,0,6,4.626,31
1986,2,jerez,True,False,True,False,False,angelis,Italian,brabham,15,14,0,0,8,0,0,6,4.945,28
1986,2,jerez,True,False,True,False,False,palmer,British,zakspeed,16,23,0,0,18,0,0,12,5.313,29
1986,2,jerez,True,False,True,False,False,jones,Australian,lola,17,24,0,0,24,0,0,11,5.341,39
1986,2,jerez,True,False,True,False,False,tambay,French,lola,18,8,0,0,16,0,0,11,5.387,36
1986,2,jerez,True,False,True,False,False,boutsen,Belgian,arrows,19,7,0,0,11,0,0,7,5.564,28
1986,2,jerez,True,False,True,False,False,streiff,French,tyrrell,20,17,0,0,7,2,0,4,6.032,30
1986,2,jerez,True,False,True,False,False,ghinzani,Italian,osella,21,20,0,0,22,0,0,10,6.818,34
1986,2,jerez,True,False,True,False,False,surer,Swiss,arrows,22,12,0,0,19,0,0,7,6.838,34
1986,2,jerez,True,False,True,False,False,danner,German,osella,23,18,0,0,14,0,0,10,7.441,28
1986,2,jerez,True,False,True,False,False,cesaris,Italian,minardi,24,22,0,0,21,0,0,13,7.59,26
1986,2,jerez,True,False,True,False,False,nannini,Italian,minardi,25,25,0,0,20,0,0,13,8.457,26
