season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
1997,11,hungaroring,False,False,True,False,False,michael_schumacher,German,ferrari,1,4,53,3,1,71,3,1,0.0,28
1997,11,hungaroring,False,False,True,False,False,villeneuve,Canadian,williams,2,1,43,4,2,62,5,2,0.187,26
1997,11,hungaroring,False,False,True,False,False,damon_hill,British,arrows,3,2,1,0,19,1,0,10,0.372,36
1997,11,hungaroring,False,False,True,False,False,hakkinen,Finnish,mclaren,4,20,14,0,9,28,1,4,0.468,28
1997,11,hungaroring,False,False,True,False,False,irvine,British,ferrari,5,9,18,0,6,71,3,1,0.752,31
1997,11,hungaroring,False,False,True,False,False,frentzen,German,williams,6,18,19,1,5,62,5,2,0.848,30
1997,11,hungaroring,False,False,True,False,False,berger,Austrian,benetton,7,8,20,1,4,46,1,3,1.027,37
1997,11,hungaroring,False,False,True,False,False,coulthard,British,mclaren,8,14,14,1,8,28,1,4,1.033,26
1997,11,hungaroring,False,False,True,False,False,alesi,French,benetton,9,11,22,0,3,46,1,3,1.233,33
1997,11,hungaroring,False,False,True,False,False,herbert,British,sauber,10,3,7,0,12,8,0,7,1.466,33
1997,11,hungaroring,False,False,True,False,False,barrichello,Brazilian,stewart,11,19,6,0,13,6,0,8,1.466,25
1997,11,hungaroring,False,False,True,False,False,trulli,Italian,prost,12,7,3,0,15,19,0,5,1.625,23
1997,11,hungaroring,False,False,True,False,False,fisichella,Italian,jordan,13,17,8,0,11,17,0,6,1.628,24
1997,11,hungaroring,False,False,True,False,False,ralf_schumacher,German,jordan,14,5,9,0,10,17,0,6,2.014,22
1997,11,hungaroring,False,False,True,False,False,morbidelli,Italian,sauber,15,21,0,0,25,8,0,7,2.094,29
1997,11,hungaroring,False,False,True,False,False,nakano,Japanese,prost,16,6,1,0,17,19,0,5,2.112,26
1997,11,hungaroring,False,False,True,False,False,magnussen,Danish,stewart,17,22,0,0,20,6,0,8,2.186,24
1997,11,hungaroring,False,False,True,False,False,verstappen,Dutch,tyrrell,18,15,0,0,21,2,0,9,2.423,25
1997,11,hungaroring,False,False,True,False,False,diniz,Brazilian,arrows,19,16,0,0,22,1,0,10,2.446,27
1997,11,hungaroring,False,False,True,False,False,katayama,Japanese,minardi,20,10,0,0,24,0,0,11,2.56,34
1997,11,hungaroring,False,False,True,False,False,salo,Finnish,tyrrell,21,13,2,0,16,2,0,9,2.81,30
1997,11,hungaroring,False,False,True,False,False,marques,Brazilian,minardi,22,12,0,0,26,0,0,11,3.348,21
