season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
1997,13,monza,False,False,True,False,False,alesi,French,benetton,1,2,22,0,4,47,1,3,0.0,33
1997,13,monza,False,False,True,False,False,frentzen,German,williams,2,3,23,1,3,78,6,2,0.052,30
1997,13,monza,False,False,True,False,False,fisichella,Italian,jordan,3,4,14,0,9,25,0,5,0.076,24
1997,13,monza,False,False,True,False,False,villeneuve,Canadian,williams,4,5,55,5,2,78,6,2,0.241,26
1997,13,monza,False,False,True,False,False,hakkinen,Finnish,mclaren,5,9,14,0,10,28,1,4,0.35,28
1997,13,monza,False,False,True,False,False,coulthard,British,mclaren,6,1,14,1,8,28,1,4,0.357,26
1997,13,monza,False,False,True,False,False,berger,Austrian,benetton,7,7,21,1,5,47,1,3,0.453,38
1997,13,monza,False,False,True,False,False,ralf_schumacher,German,jordan,8,16,11,0,12,25,0,5,0.613,22
1997,13,monza,False,False,True,False,False,michael_schumacher,German,ferrari,9,6,66,4,1,84,4,1,0.634,28
1997,13,monza,False,False,True,False,False,irvine,British,ferrari,10,8,18,0,6,84,4,1,0.901,31
1997,13,monza,False,False,True,False,False,barrichello,Brazilian,stewart,11,13,6,0,14,6,0,9,1.187,25
1997,13,monza,False,False,True,False,False,herbert,British,sauber,12,17,14,0,11,15,0,7,1.252,33
1997,13,monza,False,False,True,False,False,magnussen,Danish,stewart,13,19,0,0,21,6,0,9,1.404,24
1997,13,monza,False,False,True,False,False,damon_hill,British,arrows,14,15,7,0,13,7,0,8,1.492,36
1997,13,monza,False,False,True,False,False,nakano,Japanese,prost,15,11,2,0,18,20,0,6,1.563,26
1997,13,monza,False,False,True,False,False,trulli,Italian,prost,16,10,3,0,16,20,0,6,1.577,23
1997,13,monza,False,False,True,False,False,diniz,Brazilian,arrows,17,22,0,0,20,7,0,8,1.649,27
1997,13,monza,False,False,True,False,False,morbidelli,Italian,sauber,18,12,0,0,24,15,0,7,1.745,29
1997,13,monza,False,False,True,False,False,salo,Finnish,tyrrell,19,18,2,0,17,2,0,10,2.703,30
1997,13,monza,False,False,True,False,False,verstappen,Dutch,tyrrell,20,20,0,0,22,2,0,10,2.855,25
1997,13,monza,False,False,True,False,False,katayama,Japanese,minardi,21,21,0,0,25,0,0,11,3.665,34
1997,13,monza,False,False,True,False,False,marques,Brazilian,minardi,22,14,0,0,26,0,0,11,4.687,21
