season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2018,4,BAK,False,False,False,False,True,vettel,German,ferrari,1,4,54,2,1,84,2,2,0.0,30
2018,4,BAK,False,False,False,False,True,hamilton,British,mercedes,2,1,45,0,2,85,0,1,0.179,33
2018,4,BAK,False,False,False,False,True,bottas,Finnish,mercedes,3,14,40,0,3,85,0,1,0.339,28
2018,4,BAK,False,False,False,False,True,ricciardo,Australian,red_bull,4,17,37,1,4,55,1,3,0.413,28
2018,4,BAK,False,False,False,False,True,max_verstappen,Dutch,red_bull,5,16,18,0,8,55,1,3,0.496,20
2018,4,BAK,False,False,False,False,True,raikkonen,Finnish,ferrari,6,2,30,0,5,84,2,2,0.992,38
2018,4,BAK,False,False,False,False,True,ocon,French,force_india,7,19,1,0,14,1,0,9,1.025,21
2018,4,BAK,False,False,False,False,True,perez,Mexican,force_india,8,3,0,0,15,1,0,9,1.049,28
2018,4,BAK,False,False,False,False,True,sainz,Spanish,renault,9,5,3,0,12,25,0,5,1.853,23
2018,4,BAK,False,False,False,False,True,stroll,Canadian,williams,10,8,0,0,18,0,0,10,2.087,19
2018,4,BAK,False,False,False,False,True,sirotkin,Russian,williams,11,20,0,0,19,0,0,10,2.388,22
2018,4,BAK,False,False,False,False,True,alonso,Spanish,mclaren,12,7,22,0,6,28,0,4,2.521,36
2018,4,BAK,False,False,False,False,True,leclerc,Monegasque,sauber,13,6,0,0,16,2,0,8,2.576,20
2018,4,BAK,False,False,False,False,True,hulkenberg,German,renault,14,18,22,0,7,25,0,5,1.568,30
2018,4,BAK,False,False,False,False,True,kevin_magnussen,Danish,haas,15,13,11,0,10,11,0,7,3.261,25
2018,4,BAK,False,False,False,False,True,vandoorne,Belgian,mclaren,16,9,6,0,11,28,0,4,2.991,26
2018,4,BAK,False,False,False,False,True,gasly,French,toro_rosso,17,12,12,0,9,12,0,6,2.998,22
2018,4,BAK,False,False,False,False,True,ericsson,Swedish,sauber,18,11,2,0,13,2,0,8,4.043,27
2018,4,BAK,False,False,False,False,True,brendon_hartley,New Zealander,toro_rosso,19,10,0,0,20,12,0,6,15.856,28
