season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2018,12,hungaroring,False,False,False,False,False,hamilton,British,mercedes,1,1,188,4,1,310,4,1,0.0,33
2018,12,hungaroring,False,False,False,False,False,bottas,Finnish,mercedes,2,5,122,0,4,310,4,1,0.26,28
2018,12,hungaroring,False,False,False,False,False,raikkonen,Finnish,ferrari,3,3,131,0,3,302,4,2,0.528,38
2018,12,hungaroring,False,False,False,False,False,vettel,German,ferrari,4,2,171,4,2,302,4,2,0.552,31
2018,12,hungaroring,False,False,False,False,False,sainz,Spanish,renault,5,9,28,0,12,80,0,4,1.085,23
2018,12,hungaroring,False,False,False,False,False,gasly,French,toro_rosso,6,6,18,0,14,20,0,8,1.933,22
2018,12,hungaroring,False,False,False,False,False,max_verstappen,Dutch,red_bull,7,19,105,1,6,211,3,3,2.374,20
2018,12,hungaroring,False,False,False,False,False,brendon_hartley,New Zealander,toro_rosso,8,11,2,0,19,20,0,8,2.47,28
2018,12,hungaroring,False,False,False,False,False,kevin_magnussen,Danish,haas,9,7,39,0,9,59,0,6,4.2,25
2018,12,hungaroring,False,False,False,False,False,grosjean,French,haas,10,10,20,0,13,59,0,6,4.935,32
2018,12,hungaroring,False,False,False,False,False,alonso,Spanish,mclaren,11,8,40,0,8,48,0,7,-0.444,37
2018,12,hungaroring,False,False,False,False,False,ricciardo,Australian,red_bull,12,4,106,2,5,211,3,3,0.784,29
2018,12,hungaroring,False,False,False,False,False,hulkenberg,German,renault,13,12,52,0,7,80,0,4,0.848,30
2018,12,hungaroring,False,False,False,False,False,ericsson,Swedish,sauber,14,15,5,0,17,18,0,9,1.417,27
2018,12,hungaroring,False,False,False,False,False,stroll,Canadian,williams,15,17,4,0,18,4,0,10,-16.876,19
2018,12,hungaroring,False,False,False,False,False,vandoorne,Belgian,mclaren,16,18,8,0,16,48,0,7,-16.841,26
2018,12,hungaroring,False,False,False,False,False,leclerc,Monegasque,sauber,17,20,13,0,15,18,0,9,-16.516,20
2018,12,hungaroring,False,False,False,False,False,ocon,French,force_india,18,13,29,0,11,59,0,5,-16.458,21
2018,12,hungaroring,False,False,False,False,False,perez,Mexican,force_india,19,14,30,0,10,59,0,5,-16.357,28
