season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
1999,2,interlagos,False,False,True,False,False,hakkinen,Finnish,mclaren,1,1,0,0,0,0,0,0,0.0,30
1999,2,interlagos,False,False,True,False,False,coulthard,British,mclaren,2,18,0,0,0,0,0,0,0.147,28
1999,2,interlagos,False,False,True,False,False,barrichello,Brazilian,stewart,3,13,2,0,5,2,0,5,0.737,26
1999,2,interlagos,False,False,True,False,False,michael_schumacher,German,ferrari,4,2,0,0,8,10,1,1,1.01,30
1999,2,interlagos,False,False,True,False,False,fisichella,Italian,benetton,5,15,3,0,4,3,0,4,1.242,26
1999,2,interlagos,False,False,True,False,False,irvine,British,ferrari,6,5,10,1,1,10,1,1,1.275,33
1999,2,interlagos,False,False,True,False,False,damon_hill,British,jordan,7,21,0,0,0,6,0,2,1.316,38
1999,2,interlagos,False,False,True,False,False,frentzen,German,jordan,8,3,6,0,2,6,0,2,1.334,31
1999,2,interlagos,False,False,True,False,False,wurz,Austrian,benetton,9,7,0,0,0,3,0,4,1.766,25
1999,2,interlagos,False,False,True,False,False,herbert,British,stewart,10,20,0,0,0,2,0,5,1.806,34
1999,2,interlagos,False,False,True,False,False,ralf_schumacher,German,williams,11,4,4,0,3,4,0,3,1.938,23
1999,2,interlagos,False,False,True,False,False,panis,French,prost,12,6,0,0,0,0,0,0,2.068,32
1999,2,interlagos,False,False,True,False,False,trulli,Italian,prost,13,19,0,0,0,0,0,0,2.116,24
1999,2,interlagos,False,False,True,False,False,alesi,French,sauber,14,17,0,0,0,0,0,0,2.148,34
1999,2,interlagos,False,False,True,False,False,diniz,Brazilian,sauber,15,14,0,0,0,0,0,0,2.626,28
1999,2,interlagos,False,False,True,False,False,zanardi,Italian,williams,16,12,0,0,0,4,0,3,2.884,32
1999,2,interlagos,False,False,True,False,False,rosa,Spanish,arrows,17,10,1,0,6,1,0,6,3.448,28
1999,2,interlagos,False,False,True,False,False,sarrazin,French,minardi,18,16,0,0,0,0,0,0,3.507,23
1999,2,interlagos,False,False,True,False,False,takagi,Japanese,arrows,19,8,0,0,7,1,0,6,3.528,25
1999,2,interlagos,False,False,True,False,False,gene,Spanish,minardi,20,9,0,0,0,0,0,0,4.142,25
