season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2019,20,interlagos,True,False,False,False,False,max_verstappen,Dutch,red_bull,1,1,235,2,4,366,2,3,0.0,22
2019,20,interlagos,True,False,False,False,False,vettel,German,ferrari,2,17,230,1,5,479,3,2,0.123,32
2019,20,interlagos,True,False,False,False,False,hamilton,British,mercedes,3,7,381,10,1,695,14,1,0.191,34
2019,20,interlagos,True,False,False,False,False,bottas,Finnish,mercedes,4,20,314,4,2,695,14,1,0.366,30
2019,20,interlagos,True,False,False,False,False,albon,Thai,red_bull,5,14,84,0,6,366,2,3,0.427,23
2019,20,interlagos,True,False,False,False,False,gasly,French,toro_rosso,6,2,77,0,8,64,0,7,1.329,23
2019,20,interlagos,True,False,False,False,False,grosjean,French,haas,7,13,8,0,17,28,0,9,1.346,33
2019,20,interlagos,True,False,False,False,False,raikkonen,Finnish,alfa,8,4,31,0,14,35,0,8,1.476,40
2019,20,interlagos,True,False,False,False,False,kevin_magnussen,Danish,haas,9,11,20,0,16,28,0,9,1.529,27
2019,20,interlagos,True,False,False,False,False,norris,British,mclaren,10,8,41,0,11,121,0,4,1.36,20
2019,20,interlagos,True,False,False,False,False,ricciardo,Australian,renault,11,6,46,0,9,83,0,5,1.395,30
2019,20,interlagos,True,False,False,False,False,giovinazzi,Italian,alfa,12,5,4,0,18,35,0,8,1.411,25
2019,20,interlagos,True,False,False,False,False,hulkenberg,German,renault,13,15,37,0,12,83,0,5,1.413,32
2019,20,interlagos,True,False,False,False,False,leclerc,Monegasque,ferrari,14,18,249,2,3,479,3,2,0.22,22
2019,20,interlagos,True,False,False,False,False,perez,Mexican,racing_point,15,9,44,0,10,65,0,6,1.527,29
2019,20,interlagos,True,False,False,False,False,kvyat,Russian,toro_rosso,16,10,34,0,13,64,0,7,1.812,25
2019,20,interlagos,True,False,False,False,False,stroll,Canadian,racing_point,17,19,21,0,15,65,0,6,2.028,21
2019,20,interlagos,True,False,False,False,False,russell,British,williams,18,12,0,0,20,1,0,10,2.618,21
2019,20,interlagos,True,False,False,False,False,kubica,Polish,williams,19,16,1,0,19,1,0,10,3.106,34
