season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2004,16,shanghai,True,False,False,False,False,barrichello,Brazilian,ferrari,1,1,98,1,2,234,13,1,0.0,32
2004,16,shanghai,True,False,False,False,False,raikkonen,Finnish,mclaren,2,3,28,1,7,52,1,5,0.166,24
2004,16,shanghai,True,False,False,False,False,button,British,bar,3,2,71,0,3,94,0,2,0.283,24
2004,16,shanghai,True,False,False,False,False,massa,Brazilian,sauber,4,8,10,0,12,29,0,6,0.747,23
2004,16,shanghai,True,False,False,False,False,ralf_schumacher,German,williams,5,18,12,0,11,60,0,4,0.879,29
2004,16,shanghai,True,False,False,False,False,alonso,Spanish,renault,6,4,45,0,5,91,1,3,0.905,23
2004,16,shanghai,True,False,False,False,False,fisichella,Italian,sauber,7,7,19,0,10,29,0,6,0.939,31
2004,16,shanghai,True,False,False,False,False,panis,French,toyota,8,14,6,0,14,9,0,8,0.963,38
2004,16,shanghai,True,False,False,False,False,coulthard,British,mclaren,9,9,24,0,8,52,1,5,1.017,33
2004,16,shanghai,True,False,False,False,False,montoya,Colombian,williams,10,5,42,0,6,60,0,4,1.233,29
2004,16,shanghai,True,False,False,False,False,webber,Australian,jaguar,11,10,7,0,13,10,0,7,1.274,28
2004,16,shanghai,True,False,False,False,False,villeneuve,Canadian,renault,12,11,0,0,0,91,1,3,1.372,33
2004,16,shanghai,True,False,False,False,False,zonta,Brazilian,toyota,13,19,0,0,21,9,0,8,1.398,28
2004,16,shanghai,True,False,False,False,False,heidfeld,German,jordan,14,13,3,0,18,5,0,9,2.495,27
2004,16,shanghai,True,False,False,False,False,klien,Austrian,jaguar,15,20,3,0,16,10,0,7,2.523,21
2004,16,shanghai,True,False,False,False,False,glock,German,jordan,16,15,2,0,19,5,0,9,3.128,22
2004,16,shanghai,True,False,False,False,False,sato,Japanese,bar,18,6,23,0,9,94,0,2,0.981,27
2004,16,shanghai,True,False,False,False,False,baumgartner,Hungarian,minardi,19,16,1,0,20,1,0,10,6.228,23
