season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2016,21,yas_marina,True,False,False,False,False,hamilton,British,mercedes,1,1,355,9,2,722,18,1,0.0,31
2016,21,yas_marina,True,False,False,False,False,rosberg,German,mercedes,2,2,367,9,1,722,18,1,0.303,31
2016,21,yas_marina,True,False,False,False,False,ricciardo,Australian,red_bull,3,5,246,1,3,446,2,2,0.834,27
2016,21,yas_marina,True,False,False,False,False,raikkonen,Finnish,ferrari,4,6,178,0,6,375,0,3,0.849,37
2016,21,yas_marina,True,False,False,False,False,vettel,German,ferrari,5,3,197,0,4,375,0,3,0.906,29
2016,21,yas_marina,True,False,False,False,False,max_verstappen,Dutch,red_bull,6,4,192,1,5,446,2,2,1.063,19
2016,21,yas_marina,True,False,False,False,False,hulkenberg,German,force_india,7,7,66,0,9,163,0,4,1.746,29
2016,21,yas_marina,True,False,False,False,False,perez,Mexican,force_india,8,8,97,0,7,163,0,4,1.764,26
2016,21,yas_marina,True,False,False,False,False,alonso,Spanish,mclaren,9,10,53,0,10,75,0,6,2.351,35
2016,21,yas_marina,True,False,False,False,False,massa,Brazilian,williams,10,9,51,0,11,136,0,5,2.458,35
2016,21,yas_marina,True,False,False,False,False,bottas,Finnish,williams,11,21,85,0,8,136,0,5,2.329,27
2016,21,yas_marina,True,False,False,False,False,button,British,mclaren,12,20,21,0,15,75,0,6,2.517,36
2016,21,yas_marina,True,False,False,False,False,gutierrez,Mexican,haas,13,12,0,0,21,29,0,8,2.725,25
2016,21,yas_marina,True,False,False,False,False,grosjean,French,haas,14,11,29,0,13,29,0,8,2.809,30
2016,21,yas_marina,True,False,False,False,False,jolyon_palmer,British,renault,15,17,1,0,18,8,0,9,3.065,25
2016,21,yas_marina,True,False,False,False,False,wehrlein,German,manor,16,14,1,0,19,1,0,11,3.24,22
2016,21,yas_marina,True,False,False,False,False,kvyat,Russian,toro_rosso,17,19,25,0,14,63,0,7,3.248,22
2016,21,yas_marina,True,False,False,False,False,kevin_magnussen,Danish,renault,18,22,7,0,16,8,0,9,3.387,24
2016,21,yas_marina,True,False,False,False,False,nasr,Brazilian,sauber,19,16,2,0,17,2,0,10,3.492,24
2016,21,yas_marina,True,False,False,False,False,ocon,French,manor,20,13,0,0,23,1,0,11,3.531,20
2016,21,yas_marina,True,False,False,False,False,sainz,Spanish,toro_rosso,21,18,46,0,12,63,0,7,3.638,22
2016,21,yas_marina,True,False,False,False,False,ericsson,Swedish,sauber,22,15,0,0,22,2,0,10,3.882,26
