season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
1987,2,imola,True,False,False,False,False,senna,Brazilian,team_lotus,1,2,0,0,14,0,0,5,0.0,27
1987,2,imola,True,False,False,False,False,mansell,British,williams,2,1,1,0,6,7,0,2,0.12,33
1987,2,imola,True,False,False,False,False,prost,French,mclaren,3,24,9,1,1,13,1,1,0.171,32
1987,2,imola,True,False,False,False,False,fabi,Italian,benetton,4,14,0,0,21,2,0,4,0.309,32
1987,2,imola,True,False,False,False,False,berger,Austrian,ferrari,5,23,3,0,4,3,0,3,1.444,27
1987,2,imola,True,False,False,False,False,alboreto,Italian,ferrari,6,3,0,0,8,3,0,3,1.454,30
1987,2,imola,True,False,False,False,False,patrese,Italian,brabham,7,9,0,0,15,0,0,10,2.248,33
1987,2,imola,True,False,False,False,False,johansson,Swedish,mclaren,8,4,4,0,3,13,1,1,2.595,30
1987,2,imola,True,False,False,False,False,cheever,American,arrows,9,16,0,0,13,0,0,9,2.882,29
1987,2,imola,True,False,False,False,False,warwick,British,arrows,10,11,0,0,17,0,0,9,3.022,32
1987,2,imola,True,False,False,False,False,boutsen,Belgian,benetton,11,15,2,0,5,2,0,4,3.061,29
1987,2,imola,True,False,False,False,False,satoru_nakajima,Japanese,team_lotus,12,6,0,0,7,0,0,5,3.082,34
1987,2,imola,True,False,False,False,False,cesaris,Italian,brabham,13,18,0,0,16,0,0,10,3.753,27
1987,2,imola,True,False,False,False,False,brundle,British,zakspeed,14,5,0,0,20,0,0,6,4.035,27
1987,2,imola,True,False,False,False,False,nannini,Italian,minardi,15,21,0,0,19,0,0,12,4.556,27
1987,2,imola,True,False,False,False,False,campos,Spanish,minardi,16,19,0,0,0,0,0,12,5.268,26
1987,2,imola,True,False,False,False,False,danner,German,zakspeed,17,7,0,0,9,0,0,6,5.963,29
1987,2,imola,True,False,False,False,False,ghinzani,Italian,ligier,18,25,0,0,0,0,0,0,5.992,35
1987,2,imola,True,False,False,False,False,caffi,Italian,osella,19,12,0,0,18,0,0,11,6.077,23
1987,2,imola,True,False,False,False,False,streiff,French,tyrrell,20,8,0,0,11,0,0,7,6.422,31
1987,2,imola,True,False,False,False,False,alliot,French,larrousse,21,10,0,0,0,0,0,0,6.482,32
1987,2,imola,True,False,False,False,False,capelli,Italian,march,22,22,0,0,22,0,0,13,7.329,23
1987,2,imola,True,False,False,False,False,palmer,British,tyrrell,23,17,0,0,10,0,0,7,8.02,30
1987,2,imola,True,False,False,False,False,fabre,French,ags,24,13,0,0,12,0,0,8,8.046,27
1987,2,imola,True,False,False,False,False,tarquini,Italian,osella,25,20,0,0,0,0,0,11,8.806,25
